0,"MACROS for TRINITY: (C)1986 Infocom, Inc. All rights reserved."
7,"VERBS for TRINITY: (C)1986 Infocom, Inc. All Rights Reserved."
19,"0 = super, 1 = brief, 2 = verbose."
21,[Brief descriptions.]
22,[Super-brief descriptions.]
24,[There are no visible exits.]
31,"You feel much as you'd expect, considering what you've been through."
33,Move all worn objects to WEARING for separate sentence.
46,"not holding anything, "
55,Are you sure you want to 
64,[Please type YES or NO.] >
82,. This gives you the rank of 
88,"0 = not offered, 1 = on, 2 = off."
89,[Score notification o
94,[Your score just went up by 
99,[NOTE: You can turn score notification on or off at any time with the NOTIFY command.]
100,There aren't any clocks visible.
106,s a transcript of interaction with
110,An Interactive Fantasy
111,"Copyright (C)1986 Infocom, Inc. All rights reserved."
114," is a trademark of Infocom, Inc."
129, is phosphorescent. It couldn't possibly 
141, could sell you anything.
152,You must display your 
156, wouldn't be accepted here.
160,is looking for a fight
168,You couldn't possibly open 
180,"Your mind wanders, and you lose count."
183,You couldn't possibly cut 
187,Better not. The axe might 
192,You couldn't possibly rip 
203,There's nothing here to drive.
225,floats quietly on the water.
228, beneath the dark water.
252," would agree with me."""
254,"[Presumably, you mean WEAR "
256,"[Presumably, you mean LOOK AT "
257,", not LOOK INSIDE or LOOK ON or LOOK UNDER or LOOK BEHIND "
280,There's nothing to fill it with.
287,You'll have to do that 
288,right here in front of you.
300,n't visible at the moment
308,The crumbs are all gone.
309, shows little interest in your offer.
311,would accept your offer
312,is interested in selling anything
317,", but makes no comment."
318,How could you turn down such a tempting 
320,There aren't any good hiding places here.
338,You couldn't turn that 
343,That'd be a cute trick.
344,This is no time for resting.
361,could help you do that
373,There's nothing behind 
403,", but doesn't respond."
408,illuminate anything with 
413,"[To do that, just DROP EVERYTHING.]"
431,There isn't enough room 
441,They're already in the bag.
442,[You must specify an object.]
456,There isn't enough room 
459,Maybe you should take 
467," squirms uncomfortably for a moment, then lies still."
472,That hiding place is too obvious.
473,put anything under that.
474,What a wholesome idea.
477,Toying in this way with
481,", but experience nothing "
487,There's nothing written on it.
490,would appreciate your reading
491,Maybe you ought to do it.
495,confined by anything.
497, doesn't need replacement.
500,"[If you're really stuck, maps and InvisiClues(TM) Hint Booklets are available at most Infocom dealers, or use the order form included in your "
507,wants to play piggyback
526,You're already sitting.
531,There's barely enough room.
532,You begin to feel a little dizzy.
541, doesn't need adjustment.
546,*** CHARACTER INTERACTION DEFAULTS ***
554,The Greatest Story Ever Told
557,You begin to get a sore throat.
561,There's no need to thank 
562,That would involve quite a contortion.
563,You hit your head against 
564, as you attempt this feat.
565,Better not. The bread crumbs might fall out.
573,tie anything with that.
580,"[Presumably, you mean WALK TO "
585,You put one boot forward
588, streaks past in a dizzy rush of color
605,The desert streaks past
606,The ground blurs beneath your feet
607,You streak across the desert
608,You zoom over the landscape
612,[Which way do you want to go?]
616,[That's too long to WAIT.]
618,You may be waiting quite a while.
656,You're holding too much already.
657,So that .L an be analyzed.
658,Count # objects being carried by THING.
660,Return total weight of objects in THING.
664,It's completely dark.
668,n't do anything useful
670, have no desirable effect
671,n't be very productive
675,What a ridiculous concept
684,[To what are you referring?]
685,[You must be more specific.]
686,There's no point in doing that
687,That would be pointless
688,That's a pointless thing to do
698,You take a deep breath.
699,You gasp and clutch your throat in the surrounding vacuum.
700,You'd have to inhale first.
701,You begin to breathe normally.
702,Not recommended here.
703,You're not underwater.
704,You couldn't possibly 
714,"[Yes, this story does recognize crudity.]"
715,"EVENTS for TRINITY: (C)1986 Infocom, Inc. All rights reserved."
716,Length of an interrupt entry.
717,Offset of routine name.
720,This version of QUEUE automatically enables as well.
722,[Too many interrupts!]
727,A strong gust of wind snatches the 
729,"'s hands and sweeps it into the branches of the tree.

The woman circles the tree a few times, gazing helplessly upward. That "
730," obviously means a lot to her, for a wistful tear is running down her cheek. But nobody except you seems to notice her loss.

After a few moments, the "
731," dries her eyes, gives the tree a vicious little kick and shuffles away down the "
733,"Passersby begin to gather, craning to see what everyone else is looking at. You hardly notice them. Even when the sirens begin "
734, for a few moments. Even as the sirens continue 
735,"to howl, and the crowd scatters like leaves in the "
736,", you can't take your eyes off the "
737," swaying in the branches, back and forth.

A gentle voice whispers in your ear. "
743, waiting impatiently at your feet
753,", then hurry off to find a "
754,. But that slogan keeps echoing over and over in your mind...
755,You've completed the story of 
761, catches your eye. The 
762," blows it closer, and you realize that the white sails are actually wings. It's a folded "
763,", floating just within reach."
771," myself,"" she mutters."
772, tugs your sleeve impatiently. 
784,Thirty p! Thirty p a bag
785,Feed the hungry birds
786,Thirty p for the starving birds
791,"What to do, what to do"
798,As you start to move away 
799,a very large bird races out 
803,"leaps into the open pram, "
807,", scoots between your legs"
808,"""It's time!"" shrieks the "
809," softens to a whisper and dies away.

Blowing leaves settle to the ground, and the trees are still. Then a fresh gust blows in from the west."
810,The large bird you saw before is here! You catch a glimpse of the 
812,zigzags through a group of tourists
813,races between the wheels of a perambulator
814,dodges a startled nanny
825,is eyeing you with interest
826,struts around the top of the toadstool
827,cocks its head to watch you
828,adjusts the ruby in its beak
829,scampers around your feet
830,scratches impatiently on the ground
831,looks up at you inquisitively
833,watches every move you make
834,scoots between your legs
835,is eyeing you with interest
840,cocks its head intelligently
842,obviously understands you
844,decides to ignore you
845,chooses not to respond
848, and disappears to the 
850,Delete when debugged.
852,". If you didn't know better, you'd swear that bird was a "
853,gives you a curt nod of acknowledgement. Then it flutters off the 
854,", prances through the open door and disappears."
856,"A forgotten woman, too aged to run, is sitting nearby."
857,A steady drone begins to rise above the 
858,". As it grows louder and more insistent, you recognize a "
859, you've heard only in old war movies. Air-raid sirens.
860,Another siren joins the first
861,". Tourists search the sky, eyes wide with apprehension"
862,The boy slowly pulls his 
863, off and glances furtively around. Then he picks up the dish and races off between the prams.
864,Sirens are howling all around you
865,". Children, sensing fear in the air, begin to whimper for their "
866,Confused shouts can be heard in the distance
870,Police and fire alarms join in the rising din
871, as the crowd rushes to escape the open sky of the Gardens
872,Distant megaphones can be heard barking orders
876,A round of gunfire drowns out the wailing 
877,. Tourists cover their heads and trample one another in blind panic
878, trembles with the roar of jet interceptors
882," falls silent, and a new star flashes to life over the doomed city."
885, is still. Everything is very quiet.
886,"A gleam overhead catches your eye.

Oh, dear. A "
887, is hanging motionless in the sky.
888," isn't completely motionless. It's falling very, very slowly towards the "
889,Your eyes follow the 
890,"'s trajectory downward, where you notice another peculiar phenomenon. It looks like a "
891,", suspended just above the "
893,A flock of ravens glides into view! They circle over the 
894, and disappear through the open 
895, continues its slow descent.
896,Swans and ducks paddle through the open 
897,", vanishing without a trace"
898, is only a few dozen yards above the door.
899,A log is being pushed across the 
900, by a pair of mallards. Its 
901," is crowded with squirrels, chipmunks and other inhabitants of the "
904, as the log sails through the 
906,'s nose nudges into the 
907,. Then a searing glare envelops the 
908,", and you discover what it feels like to be vaporized in extreme slow motion."
913,You claw your way to the 
916,"With an involuntary gasp, you begin to breathe normally."
919,clicks into place at the dial's 
921,"0 = shadow movement string, 1 = P? of shadow movement, 2 = sun direction, 3 = shadow direction."
955, rotates with a sudden 
961,"With a faint creak, the "
971,swings shut with a faint creak
972,. You stare in wonder as the door shimmers and fades from view.
982,Shadows lengthen in the gathering dusk. 
983,You pause to watch as the sun touches the 
985," and sinks from view, while its mirror image rises in the "
986,", painting the clouds with a fiery glow that spreads across the sky.

Wait a minute.

The sky is getting "
988, You rub your eyes and blink as the 
990," magically emerge from darkness, suffused in a golden light swelling somewhere behind you...

Another sun is rising! You turn east and west, gaping with astonishment as the twin orbs rise and set in perfect synchronization. For a moment, both are bisected by the "
992,s that cross the ground in fantastic patterns. Then the 
994,"ern sun sinks from view, and the "
995,ern sun rises to command the morning.
996,"With a leafy whoosh, the "
997, topples away from the chasm and crashes to the ground.
999," around you freezes instantly, but remains intact"
1000, drops away behind you.
1001,You watch helplessly as the 
1002," dwindles to a distant speck, vanishing at last between the horns of the rising moon."
1007, tug in your arms. It's pulling you towards the 
1009, twists in your arms as the 
1014," being yanked out of your old trajectory, into what is obviously a collision course"
1017, bounces against the 
1018,anchoring the film securely
1019,Where gnomon has gone before
1020, begins to drift away.
1022, fire briefly to compensate for your added momentum.
1027, reappears far ahead of you.
1028,"A red flash draws your eyes to the ground below, where the contrail of a "
1029, is climbing into the stratosphere.
1030, is heading straight for the 
1033," fire, turning the nose until it faces the ascending "
1035, erupts in a savage glare that lights up the ground below
1036,"beam of violet radiation flashes downward, obliterating the distant "
1037,". Unfortunately, you have little time to admire this triumph of engineering before the "
1038,'s blast incinerates you.
1040," leaps from your grasp and fastens itself to the metal hull, "
1041,"0 = giant dips stick, 1 = blows bubble, 2 = listens to music."
1043, appears high overhead. It hovers for a moment before it
1044,So BOY-BLOWS can set to 2.
1045,". Trapped in a whirlpool of suds, you cling helplessly to the boy's wand"
1047," slowly drifting to the ground, enveloped in a "
1051, in the dish and swishes it around
1053," out of the dish, puts it to his lips and blows a big "
1056, bursts with a flabby 
1058, to the headphone music
1064,The total lack of air pressure is making you uncomfortable
1066," isn't looking too happy, either"
1068,Hmm. It seems that your blood is beginning to boil
1071,"'s, from the look of it"
1073,You lose consciousness just as your internal organs begin to rupture.
1077, shimmers with iridescent color.
1079, won't hold up much longer.
1085, slowly melts away. Soon there's nothing left of it.
1086, slips from your grasp and 
1092,disappears in the water.
1093,shatters to bits at your feet.
1094,The warm air makes the 
1097, is starting to melt.
1098,It's getting hard to hold the slippery 
1100,melting away as you watch.
1101,almost too slippery to hold.
1107,squirms violently in 
1109,"With a desperate lurch, the "
1110, wiggles from your grasp and 
1114," cowers in the cage, trembling violently."
1118, uneasily around the cage.
1121, out of the cage and 
1123, and begins to tremble.
1129,scrambles through the open 
1130,", straight into the fangs of the "
1131," twitches for a while as the venom takes effect. Then the snake drags its prize across the floor, shakes its tail once for effect"
1132, race between your legs
1133, swarm across the tundra
1134, scurry over your feet
1135, show no sign of stopping
1141,sniffs the air inquisitively
